fecha, algoritmo, video, TE: HOTA, TE: DetA, TE: AssA, TE: DetRe, TE: DetPr, TE: AssRe, TE: AssPr, TE: LocA, TE: IDF1, TE: IDR, TE: IDP, TE: IDTP, TE: IDFN, TE: IDFP, TE: SFDA, TE: ATA, MP: F1 Score Detecciones, MP: Precision Detecciones, MP: Recall Detecciones, MP: Max Personas Detectadas/Esperadas, HM: IOUBB[%], Tiempo [s], RAM [MB], CPU [%], GPU [%], Carpeta
20230130-013908, object_detection/pedestrian_detection, ../data/videos/59.mp4, 23.127, 14.425, 37.085, 14.569, 80.436, 45.18, 55.157, 81.945, 23.872, 14.098, 77.834, 611, 3723, 174, 24.012, 14.73, 0.30077635050387097, 0.9990917347865577, 0.18363825094070327, 3/7, 0.11623577497515432, , , , , ../resultados/pedestrian_detection/20230130-013908
20230130-002709, object_detection/yolov1-tiny, ../data/videos/59.mp4, 0.070822, 0.029145, 0.17209, 0.029145, 31.579, 0.17209, 31.579, 78.484, 0, 0, 0, 0, 4334, 4, 0.049619, 0, 0.0, 0.9945504087193461, 0.0, 1/7, 0.062271013111805995, , , , , ../resultados/yolov1-tiny/20230130-002709
20230130-000655, object_detection/yolov2, ../data/videos/59.mp4, 2.8493, 1.2952, 6.2703, 1.3528, 21.477, 7.7656, 22.883, 72.833, 3.0389, 1.6151, 25.641, 70, 4264, 203, 2.3341, 1.5895, 0.02912936291682886, 0.7463669391462306, 0.017555469054106657, 3/7, 0.0, , , , , ../resultados/yolov2/20230130-000655
20230130-001339, object_detection/yolov3, ../data/videos/59.mp4, 30.427, 20.793, 45.454, 21.389, 70.817, 53.529, 61.428, 76.99, 39.376, 25.635, 84.874, 1111, 3223, 198, 32.176, 25.528, 0.4550808788547208, 0.9952316076294278, 0.3064940962761126, 3/7, 0.9034254369701696, , , , , ../resultados/yolov3/20230130-001339
20230204-172251, object_detection/yolov7, ../data/videos/59.mp4, 27.155, 38.371, 19.95, 39.878, 73.986, 23.557, 43.482, 78.188, 35.052, 26.973, 50.043, 1169, 3165, 1167, 50.386, 18.999, 0.6854331560053631, 0.987511353315168, 0.5482159076164526, 5/7, 0.9292419766685025, , , , , ../resultados/yolov7/20230204-172251
20230129-223841, object_detection/yolox, ../data/videos/59.mp4, 22.802, 27.41, 19.65, 28.18, 75.112, 20.941, 57.925, 79.102, 26.946, 18.528, 49.385, 803, 3531, 823, 39.879, 12.435, 0.5393268024739415, 0.9995458673932789, 0.38095238095238093, 4/7, 0.9296358985453759, , , , , ../resultados/yolox/20230129-223841
20230129-224325, object_tracking/siam-mot, ../data/videos/59.mp4, 48.537, 37.91, 62.754, 43.011, 62.807, 67.443, 74.711, 76.348, 61.052, 51.431, 75.101, 2229, 2105, 739, 50.31, 34.684, 0.6451531665428123, 0.8063351498637602, 0.5629622421175555, 6/7, 0.946978779152402, , , , , ../resultados/siam-mot/20230129-224325
20230130-015903, object_detection/pedestrian_detection, ../data/videos/large1.mp4, 22.772, 50.986, 10.455, 53.886, 79.191, 17.902, 17.517, 82.457, 22.324, 18.757, 27.566, 3215, 13925, 8448, 62.636, 13.458, 0.7714775943753216, 0.9661406926406927, 0.6628454184704184, 8/9, 0.5214285714285715, , , , , ../resultados/pedestrian_detection/20230130-015903
20230130-023208, object_detection/yolov1-tiny, ../data/videos/large1.mp4, 2.0537, 1.1272, 3.7495, 1.1343, 28.975, 4.3735, 25.414, 61.269, 0.24704, 0.12835, 3.2787, 22, 17118, 649, 2.104, 0.14076, 0.002946969696969697, 0.7113636363636363, 0.0017577561327561328, 2/9, 0.5865992819899136, , , , , ../resultados/yolov1-tiny/20230130-023208
20230130-024237, object_detection/yolov2, ../data/videos/large1.mp4, 12.682, 6.643, 24.373, 6.8169, 54.985, 27.908, 41.026, 70.976, 10.88, 6.1144, 49.318, 1048, 16092, 1077, 11.84, 5.4129, 0.1461198347107438, 0.8256060606060606, 0.08637085137085136, 4/9, 0.35904760721871004, , , , , ../resultados/yolov2/20230130-024237
20230130-025620, object_detection/yolov3, ../data/videos/large1.mp4, 19.846, 53.043, 7.4892, 55.844, 79.612, 14.054, 13.757, 82.257, 18.407, 15.659, 22.324, 2684, 14456, 9339, 64.301, 11.576, 0.793771419682516, 0.9706818181818182, 0.6837003968253968, 8/9, 0.6394160583941606, , , , , ../resultados/yolov3/20230130-025620
20230204-175013, object_detection/yolov7, ../data/videos/large1.mp4, 23.303, 68.756, 8.0904, 74.578, 81.016, 12.184, 18.977, 84.775, 18.634, 17.894, 19.438, 3067, 14073, 12711, 76.474, 9.8475, 0.9187497465984308, 0.9621102092352092, 0.8861147186147186, 10/9, 0.0, , , , , ../resultados/yolov7/20230204-175013
